"date","time","sensor_41","datetime"
2012-08-15,"0000",12,2012-08-15
2012-08-16,"0000",12,2012-08-16
2012-08-17,"0000",10,2012-08-17
2012-08-18,"0000",10,2012-08-18
2012-08-19,"0000",10,2012-08-19
2012-08-20,"0000",10,2012-08-20
2012-08-21,"0000",10,2012-08-21
2012-08-22,"0000",10,2012-08-22
2012-08-23,"0000",10,2012-08-23
2012-08-24,"0000",10,2012-08-24
2012-08-25,"0000",10,2012-08-25
2012-08-26,"0000",9,2012-08-26
2012-08-27,"0000",10,2012-08-27
2012-08-28,"0000",10,2012-08-28
2012-08-29,"0000",10,2012-08-29
2012-08-30,"0000",10,2012-08-30
2012-08-31,"0000",10,2012-08-31
2012-09-01,"0000",10,2012-09-01
2012-09-02,"0000",10,2012-09-02
2012-09-03,"0000",13,2012-09-03
2012-09-04,"0000",12,2012-09-04
2012-09-05,"0000",12,2012-09-05
2012-09-06,"0000",12,2012-09-06
2012-09-07,"0000",13,2012-09-07
2012-09-08,"0000",13,2012-09-08
2012-09-09,"0000",14,2012-09-09
2012-09-10,"0000",15,2012-09-10
2012-09-11,"0000",14,2012-09-11
2012-09-12,"0000",13,2012-09-12
2012-09-13,"0000",13,2012-09-13
2012-09-14,"0000",12,2012-09-14
2012-09-15,"0000",12,2012-09-15
2012-09-16,"0000",12,2012-09-16
2012-09-17,"0000",11,2012-09-17
2012-09-18,"0000",11,2012-09-18
2012-09-19,"0000",11,2012-09-19
2012-09-20,"0000",10,2012-09-20
2012-09-21,"0000",10,2012-09-21
2012-09-22,"0000",10,2012-09-22
2012-09-23,"0000",10,2012-09-23
2012-09-24,"0000",10,2012-09-24
2012-09-25,"0000",11,2012-09-25
2012-09-26,"0000",11,2012-09-26
2012-09-27,"0000",11,2012-09-27
2012-09-28,"0000",11,2012-09-28
2012-09-29,"0000",11,2012-09-29
2012-09-30,"0000",11,2012-09-30
